NAZWA_SKROCONA;MIEJSCOWOSC;ULICA;NR_KLIENTA
LESZNO8134;LESZNO;FINDERA 29;8†134
JANIKOWO4419;JANIKOWO;PRZEMYS£OWA;4†419
D•BKI4420;D•BKI;;4†420
SZCZECINEK4421;SZCZECINEK;PILSKA;4†421
MI DZYRZECZ4422;MI DZYRZECZ;Sportowa 6b/6;4†422
GDA—SK4423;GDA—SK;AL. ZWYCI STWA;4†423
OPOLE4424;OPOLE;CYGANA;4†424
BYDGOSZCZ4425;BYDGOSZCZ;TORU—SKA;4†425
BYDGOSZCZ4426;BYDGOSZCZ;PRZEMYS£OWA;4†426
SK”RKA4427;SK”RKA;NAD RZEK•;4†427
SZCZECIN4428;SZCZECIN;BIA£OWIESKA;4†428
GOLENI”W4429;GOLENI”W;ØDØARY;4†429
STARGARD4430;STARGARD;GRANICZNA;4†430
STARGARD SZCZECI—SKI4431;STARGARD SZCZECI—SKI;RZEèNICZA;4†431
GOLENIOW4432;GOLENIOW;WINCENTEGO WITOSA;4†432
TORU—4433;TORU—;OSIKOWA;4†433
GRYFINO4434;GRYFINO;SZCZECI—SKA;4†434
åWIECIE4435;åWIECIE;Bydgoska;4†435
ØNIN4436;ØNIN;SPOKOJNA;4†436
WYSOKA4437;WYSOKA;KOåCIELNA;4†437
£OWICZ4438;£OWICZ;JAMNO;4†438
BYDGOSZCZ4439;BYDGOSZCZ;PADEREWSKIEGO;4†439
TORU—4440;TORU—;S£ONECZNA;4†440
BRUSY-LEåNO4441;BRUSY-LEåNO;KARD.WYSZY—SKIEGO;4†441
BYDGOSZCZ4442;BYDGOSZCZ;AL. JANA PAW£A II;4†442
S£UPSK4443;S£UPSK;SZCZECI—SKA;4†443
POZNA—4444;POZNA—;DZIADOSZA—SKA;4†444
OBLASY4445;OBLASY;OBLASY;4†445
WIERUSZ”W4446;WIERUSZ”W;B-PA ST. BARE£Y;4†446
INOWROC£AW4447;INOWROC£AW;POZNA—SKA;4†447
TARCZYN4449;TARCZYN;B£O—SKA;4†449
PIASECZNO-KOLONIA LESZNOWOLA4450;PIASECZNO-KOLONIA LESZNOWOLA;POSTPU;4†450
SZCZECIN4451;SZCZECIN;WERNYHORY;4†451
TORU—4452;TORU—;GRANITOWA;4†452
KO£O5159;KO£O;PONIATOWSKIEGO;5†159
GRYFINO4339;GRYFINO;GEN.W£.ANDRESA;4†339
NOWA WIEå WIELKA4340;NOWA WIEå WIELKA;KONWALIOWA;4†340
GDA—SK4341;GDA—SK;SZCZ åLIWA;4†341
BYDGOSZCZ4342;BYDGOSZCZ;TORU—SKA;4†342
PAKOå∆4343;PAKOå∆;GIEBNIA;4†343
TORU—4344;TORU—;åW.KATARZYNY;4†344
STARGARD SZCZECI—SKI7277;STARGARD SZCZECI—SKI;NIEPODLEG£OåCI;7†277
INOWROC£AW4345;INOWROC£AW;PARCHANKI;4†345
BYDGOSZCZ4346;BYDGOSZCZ;GDA—SKA;4†346
BYDGOSZCZ4347;BYDGOSZCZ;MORSKA;4†347
MARGONIN4348;MARGONIN;ADOLFOWO;4†348
PI£A4349;PI£A;PL.KONSTYTUCJI 3 MAJA;4†349
SZYD£OWO4350;SZYD£OWO;DOBRZYCA;4†350
NAK£O N. NOTECI•4351;NAK£O N. NOTECI•;KOåCIELNA;4†351
GDA—SK4352;GDA—SK;KLONOWICZA;4†352
WARSZAWA4353;WARSZAWA;ØYZNA;4†353
JANOWIEC WLKP.4354;JANOWIEC WLKP.;MINISZEWO;4†354
GRUDZI•DZ4355;GRUDZI•DZ;WARY—SKIEGO;4†355
RACIAØ K. TUCHOLI4356;RACIAØ K. TUCHOLI;;4†356
GNIEZNO4357;GNIEZNO;Reymonta;4†357
TORU—4359;TORU—;WITOSA;4†359
GNIEZNO4360;GNIEZNO;REYMONTA;4†360
BYDGOSZCZ4361;BYDGOSZCZ;REYMONTA;4†361
BYDGOSZCZ4362;BYDGOSZCZ;SMOLE—SKA;4†362
JENDRZEJEWO-CZARNK”W4453;JENDRZEJEWO-CZARNK”W;GAJEWO;4†453
TRZCZIANKA4454;TRZCZIANKA;MICKIEWICZA;4†454
RYTEL4455;RYTEL;DWORCOWA;4†455
BYDGOSZCZ4456;BYDGOSZCZ;KORMORAN”W;4†456
GRUDZI•DZ4457;GRUDZI•DZ;ZAMENHOFFA;4†457
LIPNICA4458;LIPNICA;POLNA;4†458
TCZEW4459;TCZEW;MALINOWO;4†459
KUØNICA CZARNKOWSKA4460;KUØNICA CZARNKOWSKA;WYZWOLENIA;4†460
KATOWICE4461;KATOWICE;WILIMOWSKIEGO;4†461
WARSZAWA4462;WARSZAWA;PIANIST”W;4†462
BYDGOSZCZ4463;BYDGOSZCZ;GLINKI;4†463
£OWICZ7278;£OWICZ;ARMII KRAJOWEJ;7†278
TUCHOLA4464;TUCHOLA;KOåCIELNA;4†464
BYDGOSZCZ4465;BYDGOSZCZ;M.KONOPNICKIEJ;4†465
BYDGOSZCZ4466;BYDGOSZCZ;KONARSKIEGO;4†466
CHOROSZCZ4467;CHOROSZCZ;WARSZAWSKA;4†467
INOWROC£AW4468;INOWROC£AW;MICKIEWICZA;4†468
PI£A4469;PI£A;WALKI M£ODYCH;4†469
BONIN - KOSZALIN4470;BONIN - KOSZALIN;BONIN;4†470
NAK£O4471;NAK£O;Przemys≥owa;4†471
JASTROWIE4472;JASTROWIE;KWIATOWA;4†472
KORONOWO4473;KORONOWO;OSIEK;4†473
KORONOWO4474;KORONOWO;KWIATOWA;4†474
BYDGOSZCZ4475;BYDGOSZCZ;SZAJNOCHY;4†475
TRZCINICA4476;TRZCINICA;TRZCINICA;4†476
BYDGOSZCZ4477;BYDGOSZCZ;JAGIELLO—SKA;4†477
NAK£O4478;NAK£O;MICKIEWICZA;4†478
MOGILNO4479;MOGILNO;PADNIEWSKA;4†479
MOGILNO4480;MOGILNO;MICKIEWICZA;4†480
OSIELSKO4481;OSIELSKO;SZOSA GDA—SKA;4†481
ØAKOWICE 30 K. OSI CIN4482;ØAKOWICE 30 K. OSI CIN;;4†482
MOGILNO4483;MOGILNO;PADNIEWSKA;4†483
MOGILNO4484;MOGILNO;MICKIEWICZA;4†484
OSIELSKO4485;OSIELSKO;SZOSA GDA—SKA;4†485
KUèNICA CZARNKOWSKA4486;KUèNICA CZARNKOWSKA;WYZWOLENIA;4†486
BYDGOSZCZ4487;BYDGOSZCZ;NAKIELSKA;4†487
SZAMOCIN4488;SZAMOCIN;MARCINKOWSKIEGO;4†488
BYDGOSZCZ4489;BYDGOSZCZ;WOJSKA POLSKIEGO;4†489
INOWROC£AW4490;INOWROC£AW;MARCINKOWSKIEGO;4†490
RADZIEJ”W4492;RADZIEJ”W;SZPITALNA;4†492
BYDGOSZCZ4493;BYDGOSZCZ;PU£ASKIEGO;4†493
KRUSZWICA4494;KRUSZWICA;DROGA M£Y—SKA;4†494
ZDZIESZOWICE4495;ZDZIESZOWICE;FILARSKIEGO;4†495
TORU—4496;TORU—;CERAMICZNA;4†496
WARSZAWA4497;WARSZAWA;SYRENY;4†497
PI£A4498;PI£A;LIPOWA;4†498
NAK£O4499;NAK£O;MICKIEWICZA;4†499
BIELSKO BIA£A4500;BIELSKO BIA£A;WARSZAWSKA;4†500
GRUDZI•DZ4501;GRUDZI•DZ;DWORCOWA;4†501
MAK”W-SKIERNIEWICE7279;MAK”W-SKIERNIEWICE;WOLA MAKOWSKA;7†279
WYRZYSK4502;WYRZYSK;22 STYCZNIA;4†502
WYRZYSK4503;WYRZYSK;;4†503
SZCZECIN4504;SZCZECIN;Z.CHMIELEWSKIEGO;4†504
TUCHOLA4505;TUCHOLA;åWIECKA;4†505
S£AJSIN4506;S£AJSIN;;4†506
BYDGOSZCZ4507;BYDGOSZCZ;STARTOWA;4†507
SOLEC KUJAWSKI4508;SOLEC KUJAWSKI;UNII EURPOEJSKIEJ;4†508
SZCZECIN4509;SZCZECIN;MARYNARSKA;4†509
OPALENIE4510;OPALENIE;;4†510
PRZYJMA4512;PRZYJMA;;4†512
NAK£O N. NOTECI•4513;NAK£O N. NOTECI•;OKR ØNA;4†513
WARSZAWA4514;WARSZAWA;JAGIELLO—SKA;4†514
BYDGOSZCZ4515;BYDGOSZCZ;åW. TR”JCY;4†515
LUBA—4518;LUBA—;RADOGOSZCZ;4†518
SZCZECIN4199;SZCZECIN;RADOMSKA;4†199
GRYFICE4200;GRYFICE;STAROGARDZKA;4†200
SZCZECIN4201;SZCZECIN;ØO£NIERSKA;4†201
åWINOUJåCIE4202;åWINOUJåCIE;KO££•TAJA;4†202
TANOWO4203;TANOWO;LIPOWA;4†203
SZCZECIN4204;SZCZECIN;MadaliÒskiego;4†204
GRYFINO4205;GRYFINO;GEN.W£.ANDRESA;4†205
åWINOUJåCIE4206;åWINOUJåCIE;KO££•TAJA;4†206
SZCZECIN4207;SZCZECIN;TARTACZNA;4†207
PYRZYCE4208;PYRZYCE;R”ØANA;4†208
PYRZYCE4209;PYRZYCE;JANA PAW£A II;4†209
GDA—SK7983;GDA—SK;BAØY—SKIEGO;7†983
GRYFICE4210;GRYFICE;NIECHORSKA;4†210
SZCZECIN 254211;SZCZECIN 25;AL.WOJSKA POLSKIEGO;4†211
NAK£O4212;NAK£O;ROZWARZYN;4†212
NAK£O4213;NAK£O;BYDGOSKA;4†213
JAB£”WKO4214;JAB£”WKO;gmina £abiszyn;4†214
GNIEWKOWO4215;GNIEWKOWO;TORU—SKA;4†215
CZARNK”W4216;CZARNK”W;BOCZNA;4†216
GDA—SK4217;GDA—SK;MILISKIEGO;4†217
G•DKI4218;G•DKI;POZNA—SKA;4†218
TORU—4219;TORU—;ROLNA;4†219
£OMIANKI4220;£OMIANKI;LUDOWA;4†220
GRODZISK MAZOWIECKI4221;GRODZISK MAZOWIECKI;ØYRARDOWSKA;4†221
BRUSY4222;BRUSY;OGRODOWA;4†222
SOPOT4223;SOPOT;CHMIELEWSKIEGO;4†223
POZNA—4224;POZNA—;28 CZERWCA 1956;4†224
£OWICZ7280;£OWICZ;NADBZURZANSKA;7†280
MROCZA4226;MROCZA;£•KOWA;4†226
BORZYMIN-RYPIN4227;BORZYMIN-RYPIN;Borzymin;4†227
G£ODOWO4228;G£ODOWO;;4†228
MIASTKO4229;MIASTKO;ARMII KRAJOWEJ;4†229
BARAN”W4230;BARAN”W;A. KRAJOWEJ;4†230
GIØYCKO4231;GIØYCKO;WODNA;4†231
BYDGOSZCZ4232;BYDGOSZCZ;TORU—SKA;4†232
WARSZAWA4233;WARSZAWA;OSTROBRAMSKA;4†233
K£ODAWA- CHOJNICE4234;K£ODAWA- CHOJNICE;;4†234
MODLISZEWO K. GNIEZNA4235;MODLISZEWO K. GNIEZNA;;4†235
G BICE4236;G BICE;KASZTANOWA;4†236
ZGIERZ4237;ZGIERZ;BORUTY;4†237
BYDGOSZCZ4238;BYDGOSZCZ;POZNA—SKA 20;4†238
OKONEK4239;OKONEK;WODNA;4†239
£”Dè4240;£”Dè;PRZ DZALNIANA;4†240
WARSZAWA4241;WARSZAWA;ORDONA;4†241
WARSZAWA4242;WARSZAWA;DZWIGOWA;4†242
WARSZAWA4243;WARSZAWA;MIESZKA STAREGO;4†243
WARSZAWA4244;WARSZAWA;AL.PRYMASA 1000-LECIA;4†244
WARSZAWA4245;WARSZAWA;POW•ZKOWSKA;4†245
J”ZEF”W4246;J”ZEF”W;OBJAZDOWA;4†246
MICHA£”W-REGION”W4247;MICHA£”W-REGION”W;WARSZAWSKA;4†247
NIEPORET-LEGIONOWO4249;NIEPORET-LEGIONOWO;JANA KAZIMIERZA;4†249
WARSZAWA4250;WARSZAWA;WARCHA£OWSKIEGO;4†250
ZALESIE G”RNE4251;ZALESIE G”RNE;G£”WNA;4†251
BYDGOSZCZ4252;BYDGOSZCZ;WYZWOLENIA;4†252
BYDGOSZCZ4253;BYDGOSZCZ;WOJSKA POLSKIEGO;4†253
GDA—SK4254;GDA—SK;LEåNA G”RA;4†254
SZUBIN4255;SZUBIN;SZUBI—SKA;4†255
RADOMSKO4270;RADOMSKO;åW.ROZALII;4†270
BORZYMIN-RYPIN4271;BORZYMIN-RYPIN;BORZYMIN;4†271
DOBRZEJEWICE-TORU—4272;DOBRZEJEWICE-TORU—;OWOCOWA;4†272
ZDZIECHOWA4273;ZDZIECHOWA;MODLISZEWO;4†273
GDA—SK4274;GDA—SK;KruszyÒska4/4;4†274
WA£CZ4281;WA£CZ;KOåCIUSZKI;4†281
MROCZA4282;MROCZA;PL.1 MAJA;4†282
TUCHOLA4283;TUCHOLA;åWIECKA;4†283
TORU—4284;TORU—;POZNA—SKA;4†284
KURZ TNIK4285;KURZ TNIK;DWORCOWA;4†285
KOSZALIN4286;KOSZALIN;WOJSKA POLSKIEGO;4†286
MIASTECZKO KRAJ.4287;MIASTECZKO KRAJ.;GRABIONNA;4†287
GNIEZNO4288;GNIEZNO;WOèNIKI;4†288
POZNA—4289;POZNA—;Rawicka9;4†289
BIESIEKIERZ-KOSZALIN4290;BIESIEKIERZ-KOSZALIN;STARE BIELICE;4†290
MRZEØYNO4291;MRZEØYNO;Wojska Polskiego;4†291
ØNIN4292;ØNIN;LIPOWA;4†292
RUDO£TOWICE4293;RUDO£TOWICE;WOLNOåCI;4†293
KO—CZEWO4294;KO—CZEWO;KOLEJOWA;4†294
NOWA WIEå WIELKA4295;NOWA WIEå WIELKA;JAGODOWA;4†295
£ABISZYN4296;£ABISZYN;ZA£ACHOWO;4†296
£EKNO GM.W•GROWIEC7391;£EKNO GM.W•GROWIEC;;7†391
GDA—SK4297;GDA—SK;S£OWACKIEGO;4†297
OKONEK4298;OKONEK;WODNA;4†298
SOLEC KUJAWSKI4299;SOLEC KUJAWSKI;LIPOWA;4†299
WARSZAWA4300;WARSZAWA;JAGIELLO—SKA;4†300
£OMIANKI4301;£OMIANKI;SZCZYTOWA;4†301
GO£K”W4302;GO£K”W;GO£KOWSKA;4†302
PIASECZNO4303;PIASECZNO;PRZESMYCKIEGO;4†303
PRUSZK”W4304;PRUSZK”W;ZACHODNIA;4†304
OSIELSKO4516;OSIELSKO;SZOSA GDA—SKA;4†516
RUDY4517;RUDY;CEGIELSKA;4†517
PI£A4519;PI£A;STYKI;4†519
JAROCIN4520;JAROCIN;S.BATOREGO;4†520
KOSTRZY—4521;KOSTRZY—;ØNIWA;4†521
BYDGOSZCZ4522;BYDGOSZCZ;FORDO—SKA;4†522
SOPOT4523;SOPOT;AL.NIEPODLEG£OåCI;4†523
BYDGOSZCZ4524;BYDGOSZCZ;STARY RYNEK-RATUSZ;4†524
BYDGOSZCZ4525;BYDGOSZCZ;PI KNA;4†525
BONIN K. KOSZALINA4526;BONIN K. KOSZALINA;;4†526
BYDGOSZCZ4527;BYDGOSZCZ;RYCERSKA;4†527
SWARZ DZ4528;SWARZ DZ;RYNEK;4†528
£”Dè4529;£”Dè;ALEKSANDROWSKA;4†529
SZCZECIN4530;SZCZECIN;RACIBORA;4†530
SZCZECIN4531;SZCZECIN;MAZURSKA;4†531
SZCZECIN4532;SZCZECIN;KU S£O—CU;4†532
WARSZAWA4533;WARSZAWA;JAGIELLO—SKA;4†533
CHODZIEØ4534;CHODZIEØ;STRZELECKA;4†534
WAPIENNO4535;WAPIENNO;;4†535
£”Dè4536;£”Dè;WARECKA;4†536
RZG”W4537;RZG”W;LEåNA;4†537
ZGIERZ4543;ZGIERZ;A.STRUGA 20;4†543
BYDGOSZCZ4544;BYDGOSZCZ;S£ONECZNA;4†544
RASZYN4545;RASZYN;AL. KRAKOWSKA;4†545
SZCZECIN4547;SZCZECIN;PLAC MARIACKI;4†547
SZCZECIN4548;SZCZECIN;GEN.J.SOWI—SKIEGO;4†548
SZCZECIN4549;SZCZECIN;ORAWSKA;4†549
SZCZECIN4550;SZCZECIN;KOPERNIKA;4†550
SZCZECIN4551;SZCZECIN;POMORSKA;4†551
D•BROWA-SZCZEPANOWO4552;D•BROWA-SZCZEPANOWO;LEåNA;4†552
LIPNO4553;LIPNO;CEGIELNA;4†553
GORZ”W WIELKOPOLSKI4555;GORZ”W WIELKOPOLSKI;U£AN”W;4†555
PI£A4556;PI£A;STYKI;4†556
RADOMYåL WIELKI4557;RADOMYåL WIELKI;PARTYNIA;4†557
CHWASZCZYNO4558;CHWASZCZYNO;REWERENDA;4†558
PU£TUSK4559;PU£TUSK;WARSZAWSKA;4†559
ZAWIDZ4560;ZAWIDZ;MA—KOWO;4†560
SOSNOWIEC4561;SOSNOWIEC;LOTNIK”W;4†561
SWARZ DZ4562;SWARZ DZ;STRZELECKA;4†562
KR•PLEWO4358;KR•PLEWO;28 GRUDNIA;4†358
TORU—4563;TORU—;BUKOWA;4†563
LOTY—4564;LOTY—;POCZTOWA;4†564
BYDGOSZCZ4565;BYDGOSZCZ;SLONECZNA;4†565
SOPOT4566;SOPOT;KOåCIUSZKI;4†566
BYDGOSZCZ4567;BYDGOSZCZ;STARTOWA;4†567
BYDGOSZCZ4568;BYDGOSZCZ;STARTOWA;4†568
SZCZECIN4569;SZCZECIN;JOD£OWA;4†569
SZCZECIN4570;SZCZECIN;JANA STYKI;4†570
BYDGOSZCZ4571;BYDGOSZCZ;AL.PROF.S.KALISKIEGO;4†571
BARCIN4572;BARCIN;WAPIENNO;4†572
GLINKI SUCHE4573;GLINKI SUCHE;;4†573
W£OC£AWEK4574;W£OC£AWEK;WAPIENNA;4†574
GDA—SK4575;GDA—SK;ELBL•SKA;4†575
£”Dè4576;£”Dè;SZCZECI—SKA;4†576
BYDGOSZCZ4577;BYDGOSZCZ;W.POLSKIEGO;4†577
W£OC£AWEK4578;W£OC£AWEK;OR ØNA;4†578
Z£OT”W4579;Z£OT”W;SZPITALNA;4†579
KACZORY4580;KACZORY;CHODZIESKA;4†580
CHLEWISKA4581;CHLEWISKA;;4†581
BYDGOSZCZ4584;BYDGOSZCZ;FORDO—SKA;4†584
BYDGOSZCZ4585;BYDGOSZCZ;BARWNA;4†585
MSZCZON”W-ZAWADY4586;MSZCZON”W-ZAWADY;ZAWADY;4†586
BYDGOSZCZ4587;BYDGOSZCZ;SIEWNA;4†587
PI£A4588;PI£A;WALKI M£ODYCH;4†588
GDA—SK4589;GDA—SK;CHMIELNA;4†589
BYTO—4590;BYTO—;;4†590
SYPNIEWO-WA£CZ4591;SYPNIEWO-WA£CZ;;4†591
PAPOWO BISKUPIE4593;PAPOWO BISKUPIE;FOLGOWO;4†593
TOMCZYCE-GO£A—CZ4594;TOMCZYCE-GO£A—CZ;TOMCZYCE;4†594
BOLES£AWIEC4595;BOLES£AWIEC;RYNEK;4†595
CZARNK”W4596;CZARNK”W;KOåCIUSZKI;4†596
WARSZTATOWA4597;WARSZTATOWA;8;4†597
BYDGOSZCZ4599;BYDGOSZCZ;PRZEMYS£OWA;4†599
BRODNICA4600;BRODNICA;LIDZBARSKA;4†600
BYDGOSZCZ4601;BYDGOSZCZ;TORU—SKA;4†601
BYDGOSZCZ4602;BYDGOSZCZ;KRYSIEWICZOWEJ;4†602
SZYD£OWO4603;SZYD£OWO;;4†603
BUDZY—4604;BUDZY—;PRZEMYS£OWA;4†604
LECHLIN4605;LECHLIN;;4†605
WRONKI7740;WRONKI;szamotulska;7†740
KWIDZYN4606;KWIDZYN;S£OWIA—SKA;4†606
GO£A—CZ4607;GO£A—CZ;POPRZECZNA;4†607
BZOWO- CZARNK”W4608;BZOWO- CZARNK”W;;4†608
KWIDZYN4609;KWIDZYN;3-GO MAJA;4†609
GLIWICE4610;GLIWICE;ANTONIEGO GAUDIEGO;4†610
CZARNK”W4611;CZARNK”W;OåPARKOWE;4†611
BYDGOSZCZ4194;BYDGOSZCZ;KIJOWSKA;4†194
åWIESZYNO - KOSZALIN4195;åWIESZYNO - KOSZALIN;MIERZYM;4†195
TORU—4196;TORU—;SUL CKIEGO;4†196
KSAWER”W4197;KSAWER”W;£”DZKA;4†197
S£UPSK4198;S£UPSK;GRUNWALDZKA;4†198
TUCHOLA4305;TUCHOLA;S POLE—SKA;4†305
NAK£O4306;NAK£O;STASZICA;4†306
SZCZECIN4307;SZCZECIN;FL.SZAREGO;4†307
OSIEK. N.NOTECI•7406;OSIEK. N.NOTECI•;LEåNA;7†406
NOWOGARD4308;NOWOGARD;G”RNA;4†308
LUBCZYNA4309;LUBCZYNA;WIEJSKA;4†309
PUCICE4310;PUCICE;SZEROKA;4†310
PYRZYCE4312;PYRZYCE;SZCZECI—SKA;4†312
NOWOGARD4313;NOWOGARD;BOHATER”W WARSZAWY;4†313
GRYFICE4314;GRYFICE;NIEK£ADZKA;4†314
SZCZECIN4315;SZCZECIN;POMORSKA;4†315
SZCZECIN4316;SZCZECIN;KLONOWICA;4†316
TRZEBIAT”W4317;TRZEBIAT”W;ZAG”RSKI;4†317
W£OC£AWEK4318;W£OC£AWEK;LIPOWA;4†318
POZNA—4319;POZNA—;KOLEJOWA;4†319
PUSZCZA MARIA—SKA-SKIERNIEWICE4320;PUSZCZA MARIA—SKA-SKIERNIEWICE;NOWY KAROLIN”W;4†320
ROMANOWO DOLNE7247;ROMANOWO DOLNE;;7†247
SKIERNIEWICE4321;SKIERNIEWICE;PAMI TNA;4†321
SKIERNIEWICE4322;SKIERNIEWICE;MSZCZONOWSKA;4†322
WARSZAWA4323;WARSZAWA;AL.PRYMASA TYSI•CLECIA;4†323
NADARZYN4324;NADARZYN;MSZCZONOWSKA;4†324
POZNA—4325;POZNA—;LESZCZY—SKIEGO;4†325
BYDGOSZCZ4326;BYDGOSZCZ;GRUNWALDZKA;4†326
SZCZECIN4327;SZCZECIN;KUTRZEBY;4†327
OSIELSKO4328;OSIELSKO;KORONOWSKA;4†328
WI CBORK4329;WI CBORK;GDA—SKA;4†329
TUCHOLA4330;TUCHOLA;S POLE—SKA;4†330
GDYNIA4331;GDYNIA;JANKI WIåNIEWSKIEGO;4†331
CHODZIEØ4332;CHODZIEØ;KASPRZAKA;4†332
CHE£MNO4333;CHE£MNO;PRZEMYS£OWA;4†333
BYDGOSZCZ4334;BYDGOSZCZ;OP£AWIEC;4†334
W•GROWIEC4335;W•GROWIEC;£•KOWA;4†335
BYDGOSZCZ4336;BYDGOSZCZ;STARTOWA;4†336
GDA—SK4337;GDA—SK;KNUSZY—SKA;4†337
LUBNIA K. KOSCIERZYNY4338;LUBNIA K. KOSCIERZYNY;;4†338
CZ£UCH”W4612;CZ£UCH”W;TRAUGUTTA;4†612
WIELE—4613;WIELE—;POTRZEBOWICKA;4†613
TRZCIANKA4614;TRZCIANKA;GRUNWALDZKA;4†614
MROCZA4615;MROCZA;WYRZA;4†615
SYPNIEWO4616;SYPNIEWO;OGRODOWA;4†616
MIECHUCINO-KARTUZY4617;MIECHUCINO-KARTUZY;SZKLANA;4†617
åWIDWIN4618;åWIDWIN;ARMII KRAJOWEJ;4†618
WIELE—4619;WIELE—;JARY—SKA;4†619
KRZYØ WLKP4620;KRZYØ WLKP;MICKIEWICZA;4†620
GDYNIA4621;GDYNIA;PI£SUDSKIEGO;4†621
W£OC£AWEK4622;W£OC£AWEK;TORU—SKA;4†622
BYDGODZCZ4623;BYDGODZCZ;GARBARY;4†623
INOWROC£AW4624;INOWROC£AW;MARCINKOWSKIEGO;4†624
MOGILNO-S DOWO7248;MOGILNO-S DOWO;;7†248
BYDGOSZCZ8004;BYDGOSZCZ;K. SZAJNOCHY;8†004
PI£A4625;PI£A;KORCZAKA;4†625
KOSZALIN4626;KOSZALIN;MANOWSKA;4†626
BYDGOSZCZ4627;BYDGOSZCZ;F. KRYSIEWICZOWEJ;4†627
£OBØENICA4628;£OBØENICA;;4†628
£UKOWO-W•GROWIEC7249;£UKOWO-W•GROWIEC;;7†249
WARSZAWA4629;WARSZAWA;AL.JEROZOLIMSKIE;4†629
GDYNIA4630;GDYNIA;HUTNICZA;4†630
WLOC£AWEK4631;WLOC£AWEK;MATEBUDY;4†631
W•GROWIEC4632;W•GROWIEC;WODNA;4†632
BYDGOSZCZ4633;BYDGOSZCZ;SREBRNA;4†633
åWIECIE4634;åWIECIE;BYDGOSKA;4†634
KOSZALIN4635;KOSZALIN;POPRZECZNA;4†635
BYDGOSZCZ4636;BYDGOSZCZ;WROC£AWSKA;4†636
GDA—SK4637;GDA—SK;KUJAWSKA;4†637
WARSZAWA4638;WARSZAWA;ALEJA STAN”W ZJEDNOCZONYCH;4†638
PI£A4639;PI£A;WOJSKA POLASKIEGO;4†639
BUDZY—4640;BUDZY—;PRZEMYS£OWA;4†640
INOWROC£AW4641;INOWROC£AW;STASZICA;4†641
PI£A4642;PI£A;PO£ABSKA;4†642
KOSZALIN4643;KOSZALIN;OLCHOWA;4†643
GNIEZNO8005;GNIEZNO;GRUNWALDZKA;8†005
KO£OBRZEG4644;KO£OBRZEG;åW. WOJCIECHA;4†644
WYRZYSK4645;WYRZYSK;22 STYCZNIA;4†645
MIROS£AWIEC4646;MIROS£AWIEC;;4†646
KWIDZYN4647;KWIDZYN;CHOPINA;4†647
KWIDZYN4648;KWIDZYN;KOCHANOWSKIEGO;4†648
KRAMSK-KONIN4649;KRAMSK-KONIN;BORKI;4†649
SKOKI4650;SKOKI;LECHLIN;4†650
BYDGOSZCZ4651;BYDGOSZCZ;CIEPLICKA;4†651
CZ£UCH”W4652;CZ£UCH”W;BATOREGO;4†652
WA£CZ4653;WA£CZ;BUDOWLANYCH;4†653
ZAMOå∆-RYNARZEWA4654;ZAMOå∆-RYNARZEWA;POLNA;4†654
WA£CZ4655;WA£CZ;CHUDE;4†655
WA£CZ4656;WA£CZ;W.POLSKIEGO;4†656
£UBOWO-CZAPLINEK4657;£UBOWO-CZAPLINEK;KOåCIUSZKI;4†657
GOåCINO4658;GOåCINO;MO£TOWO;4†658
KOSZALIN4659;KOSZALIN;KUPIECKA;4†659
KOSZALIN4660;KOSZALIN;POWST. WIELKOPOLSKICH;4†660
BYDGOSZCZ4661;BYDGOSZCZ;SREBRNA;4†661
KO£OBRZEG4662;KO£OBRZEG;JEDNOåCI NARODOWEJ;4†662
BYDGOSZCZ4663;BYDGOSZCZ;FORDO—SKA;4†663
GO£A—CZ-MORAKOWO7984;GO£A—CZ-MORAKOWO;;7†984
PATEREK4664;PATEREK;SZUBI—SKA;4†664
BYDGOSZCZ4665;BYDGOSZCZ;JANA PAW£A II;4†665
POZNA—4666;POZNA—;ØMIGRODZKA;4†666
JADWIØYN-MIROSAWIEC4667;JADWIØYN-MIROSAWIEC;;4†667
SOCHACZEW4668;SOCHACZEW;KOåCI—SKIEGO;4†668
MåCICE4669;MåCICE;KOSZALI—SKA;4†669
S£AWNO4670;S£AWNO;CHOPINA;4†670
S£AWNO4671;S£AWNO;BASZTOWA;4†671
BYDGOSZCZ4672;BYDGOSZCZ;KARTUSKA;4†672
SZCZECIN4673;SZCZECIN;KU S£O—CU;4†673
STARGARD SZCZECI—SKI4674;STARGARD SZCZECI—SKI;GDY—SKA;4†674
DO£UJE4675;DO£UJE;LUBIESZYN;4†675
RYDZEWO4676;RYDZEWO;;4†676
KOSZALIN- KARLINO4677;KOSZALIN- KARLINO;KOåCIUSZKI;4†677
GDA—SK4678;GDA—SK;KARTUSKA;4†678
PYRZYCE4679;PYRZYCE;ROKITY;4†679
£OBØENICA4680;£OBØENICA;SPORTOWA;4†680
GDYNIA4681;GDYNIA;HUTNICZA;4†681
PI£A4682;PI£A;PO£ABSKA;4†682
POZNA—4683;POZNA—;NARAMOWICKA;4†683
POZNA—4684;POZNA—;MOGILE—SKA;4†684
BYDGOSZCZ4685;BYDGOSZCZ;INWALID”W;4†685
BYDGOSZCZ4686;BYDGOSZCZ;SZAJNOCHY;4†686
POZNA—4687;POZNA—;CHOCHO£OWSKA;4†687
SZCZECIN4688;SZCZECIN;MI£A;4†688
åWINOUJåCIE4689;åWINOUJåCIE;KARSIBORSKA;4†689
